Class,Namespace,Definition
"MA Autenticação","",""
"MS Autenticação","",""
"MA Usuário","",""
"MS Usuário","",""
"MA Reserva","",""
"MS Reserva","",""
"MA Acomodação","",""
"MS Acomodação","",""
"Interf Autenticação<parameter0:long int>","",""
"Interf Usuário","",""
"Interf Reserva","",""
"Interf Acomodação","",""
"Nome","",""
"Data","",""
"Agência","",""
"Banco","",""
"Diária","",""
"Data de Validade","",""
"Identificador","",""
"Número de Cartão de Crédito","",""
"Número de Conta Corrente","",""
"Senha","",""
"Tipo de Acomodação","",""
"Class21","",""
"IA Usuário","",""
"IA Reserva","",""
"IA Acomodação","",""
"IA Autenticação","",""
"Módulo de Controle","",""
